instance,profile,policy,stream,route_len,rho_cand,cand_count,N,candidate_cvar_matches_full,tier2_decision,tier2_incremental_certified,full_feasible,t_tier2_total,t_tier2_exact_partial,t_full,tier2_over_full,cvar_L,cvar_U,cvar_candidate,cvar_full
CON3-0,moderate,SAA,search,11,0.9125,9125,10000,1,certified_infeasible,1,0,0.00388469998142682,0.0015509999939240515,0.0011269999959040433,3.446938771557526,8178498.934679097,8919881.094218818,8569200.354682779,8569200.354682779
CON3-0,moderate,SAA,search,11,0.7859,7859,10000,1,certified_infeasible,1,0,0.00377070001559332,0.0014361000212375075,0.001107400021282956,3.405002657689,8432607.750311533,9046832.648870356,8752683.372365149,8752683.372365147
CON3-0,moderate,SAA,search,14,0.9587,9587,10000,1,ambiguous,0,0,0.005266100022708997,0.0023901000095065683,0.001835799979744479,2.8685587105420787,7867796.013205744,8684721.963518549,8341256.264330454,8341256.264330452
CON3-0,moderate,SAA,search,14,0.8131,8131,10000,1,certified_infeasible,1,0,0.004486699996050447,0.0017772999999579042,0.001995300000999123,2.2486342874774645,8122949.288884298,8735766.159535455,8450211.440649245,8450211.440649243
CON3-0,moderate,SAA,search,14,0.9425,9425,10000,1,certified_feasible,1,1,0.004989200009731576,0.0024107000208459795,0.001919199974508956,2.599624883284039,7286750.680488863,8002007.798954765,7677240.4186123,7677240.4186123
CON3-0,moderate,SAA,search,14,0.9425,9425,10000,1,certified_feasible,1,1,0.00469959998736158,0.0021129999950062484,0.0023036000202409923,2.040111106992406,7286750.680488863,8002007.798954765,7677240.4186123,7677240.4186123
CON3-0,moderate,SAA,search,16,0.932,9320,10000,1,ambiguous,0,1,0.005590900022070855,0.0026399000198580325,0.002262099995277822,2.4715529966588425,7468365.184337155,8213370.584206709,7889565.682251728,7889565.682251728
CON3-0,moderate,SAA,search,16,0.8739,8739,10000,1,ambiguous,0,1,0.006168599997181445,0.0027740999939851463,0.002335299999685958,2.6414593405605165,7542912.90166744,8213370.584206709,7917553.069475408,7917553.069475408
CON3-0,moderate,SAA,search,11,0.8,8000,10000,1,ambiguous,0,0,0.003576899995096028,0.001433900004485622,0.0012719999940600246,2.8120283111630555,7793632.870272604,8362449.683579625,8085492.402577479,8085492.402577478
CON3-0,moderate,SAA,search,17,0.9294,9294,10000,1,ambiguous,0,0,0.0054499999969266355,0.0024812000046949834,0.002185499994084239,2.4937085388601323,7743314.097700976,8506539.721526789,8178452.555631468,8178452.555631467
