instance,profile,policy,N,dimension,alpha,capacity,iterations,repetitions,direction,explained_variance,effective_rank,entropy_rank,top_share,residual_cvar,prep_seconds,calls,coverage,certified_feasible,certified_infeasible,fallbacks,mean_pieces,mean_route_length_checked,K,distance,objective_raw,full_gate_seconds,full_gate_iqr,cert_gate_seconds,cert_gate_iqr,gate_speedup,gate_speedup_iqr,full_solver_seconds,full_solver_iqr,cert_solver_seconds,cert_solver_iqr,solver_speedup,solver_speedup_iqr,solver_speedup_with_prep,audit
SCA3-1,moderate,SAA,50000,10,0.9,7725037.0,10,3,SLOPE,0.10030932674925808,1.2011703428330327,1.4597474466522677,0.9094164566091306,4.058994046275454,0.00966080000216607,5290,0.630812854442344,3071,266,1953,3.50586011342155,13.107939508506616,4,715.9348,9229716.244705882,44.45151470016572,0.47105004959303187,18.306719999556663,0.18552509946312057,2.4281528696152126,0.050192816404201146,44.54362089998904,0.4739954000033322,18.3975286000059,0.1855464500040398,2.4211741624891268,0.05004090534825689,2.4199034372933395,False
SCA3-2,moderate,SAA,50000,10,0.9,8326711.0,10,3,SLOPE,0.10034607849282964,1.1976218049383922,1.4449708914539197,0.9107015021463817,4.059156672994415,0.009587199994712137,4884,0.6595004095004094,3131,90,1663,4.2414004914004915,12.07043407043407,4,682.5467,8859116.091764705,38.63691409988678,2.0312864504012396,16.114917700499063,0.7535860001516994,2.608759739351416,0.14297747170882458,38.71404489999986,2.0348868500004755,16.190217199997278,0.7551604000036605,2.601667326613405,0.14230845266692782,2.389784712463504,False
SCA3-3,moderate,SAA,50000,10,0.9,8595056.0,10,3,SLOPE,0.1002848864611383,1.1855169728568584,1.4207696916469879,0.9156711115498146,4.059711483388834,0.010982599997078069,4946,0.6670036393044885,3122,177,1647,4.036393044884755,12.772745653052972,4,722.851,9252939.92627451,39.845952900126576,0.3232833999863942,16.796182100326405,0.21194939994893502,2.3897892283460718,0.03578846284997095,39.919012099999236,0.3242155499974615,16.869061400007922,0.21272920000046724,2.384308849475067,0.03565519656458127,2.3648642207323283,False
SCA3-4,moderate,SAA,50000,10,0.9,9863399.0,10,3,SLOPE,0.10025499646158272,1.1821450338731376,1.4216240859160916,0.9171921809292218,4.059924384035017,0.01261950000480283,4782,0.7680886658301965,3462,211,1109,4.842952739439565,13.029903805938938,4,739.4829,9530856.331764705,39.892379299228196,0.33821350017387886,11.792944600310875,0.11144614945806097,3.382732697495805,0.05996009128070279,39.957430399997975,0.34005864999926416,11.850103499993565,0.11170500000298489,3.3719056040328823,0.05981214093968301,3.368318589248309,False
SCA3-5,moderate,SAA,50000,10,0.9,8131740.0,10,3,SLOPE,0.10029043182964176,1.2002628141397995,1.4533039893427009,0.9096874999256731,4.059550085595958,0.009841999999480322,5443,0.4875987506889583,2379,275,2789,4.133198603711189,13.056035274664707,4,723.9898,9288553.162352942,46.88430920038081,2.2765062997932546,30.71951530026854,1.0421650998614496,1.6292281038171994,0.07026408188944244,46.973517999998876,2.2793984999952954,30.821483499996248,1.04366514999856,1.6267992855198525,0.07016253059208033,1.5235646615324854,False
SCA3-6,moderate,SAA,50000,10,0.9,8066750.0,10,3,SLOPE,0.10038502529401581,1.215031761133921,1.4870364788635666,0.9037675363562871,4.058051592452571,0.011032999987946823,5098,0.5851314240878775,2782,201,2115,4.55590427618674,12.726363279717535,4,703.9028,8936663.06509804,41.14143390045501,0.5719709995901212,20.073761200386798,0.28507584998442326,2.0950203989843894,0.03564216813189436,41.23894999999902,0.5707551999948919,20.16660119999142,0.2864538499925402,2.0901210611537784,0.03554156856410362,2.0437951045837273,False
SCA3-7,moderate,SAA,50000,10,0.9,8335093.0,10,3,SLOPE,0.10029521822914625,1.187963904448986,1.434259628335677,0.9148091613074345,4.059432227306557,0.010984100008499809,5671,0.6311056251102098,3064,515,2092,3.8324810439076002,12.497972138952566,4,692.6541,9023668.134117648,43.17461690060736,0.24246340008539846,18.558537899094517,0.05152799929783214,2.325924095528835,0.006856680792141301,43.278403900010744,0.2410095000086585,18.657456100001582,0.05242664999968838,2.3188412980666415,0.006806339881918255,2.3182656631370504,False
SCA3-8,moderate,SAA,50000,10,0.9,8270102.0,10,3,SLOPE,0.10030657197452182,1.1928895706438698,1.4352247680327885,0.9126528532002279,4.059343278575919,0.009942499993485399,5006,0.6288453855373551,3048,100,1858,4.062125449460647,12.641630043947263,4,733.5006,9513265.309803922,38.01385709994065,0.15074080043268623,17.24313570013328,0.25979225055198185,2.2011349883907534,0.039595164928823756,38.08547870001348,0.15176159999828087,17.317311099992367,0.2599915500031784,2.195842557798757,0.039443451194207224,2.198010116273971,False
SCA3-9,moderate,SAA,50000,10,0.9,7538443.0,10,3,SLOPE,0.10025853335304316,1.1884199310164953,1.4327687045574358,0.9145877593824885,4.059737545887832,0.013237899998784997,4840,0.7245867768595041,3311,196,1333,4.794834710743801,12.200619834710745,4,700.4218,9108778.912941176,36.71851609929581,1.298343199880037,12.299361600453267,0.45877774991095066,3.050142359652886,0.04115698871697138,36.78929140001128,1.3008819000024232,12.35991389999981,0.4603203499937081,3.040668214195269,0.040635374466543084,2.9733160955816818,False
SCA8-0,moderate,SAA,50000,10,0.9,3088820.0,10,3,SLOPE,0.1002468552247172,1.3125079957201282,1.754298449820193,0.8685157327688193,4.05991481942622,0.008754800001042895,6867,0.6927333624581331,2183,2574,2110,3.54143002766856,5.6922964904616284,11,1034.9625,15607273.146666666,26.231051399649004,0.041791300143813714,9.004385100124637,0.04538159968069522,2.913196859947984,0.019401663469921893,26.317110600008164,0.041485850008029956,9.087064300008933,0.04632015000242973,2.8962838856530273,0.019337915650360138,2.893319481252579,False
SCA8-1,moderate,SAA,50000,10,0.9,2896889.0,10,3,SLOPE,0.10033634255060168,1.3168003197309013,1.7664157082943561,0.8670358452329928,4.058965442405945,0.008114099997328594,8243,0.6923450200169841,3055,2652,2536,3.188523595778236,5.2627684095596265,10,1226.6122,17442042.611764707,29.305997500749072,0.051058250151982065,10.519281899600173,0.09262265119468793,2.7859313763483193,0.029647003978711783,29.43567350000376,0.051852400007192045,10.64477430000261,0.09388564999972004,2.765269856402361,0.029524374091364436,2.7631636035916727,False
SCA8-2,moderate,SAA,50000,10,0.9,3122516.0,10,3,SLOPE,0.10034721107422116,1.2930289003309967,1.7149499663594827,0.8755784156596192,4.059274508101034,0.009033700000145473,7928,0.6832744702320888,2557,2860,2511,3.3092835519677095,5.503784056508577,11,1163.142,17223955.00235294,29.56342130045232,0.15245579962356715,10.430368799585267,0.11192344957817113,2.8343601140573114,0.045393548457109745,29.701477599999635,0.15528425000229618,10.565983699998469,0.1132502500040573,2.811047077424882,0.04521350458333373,2.8086457427487095,False
SCA8-3,moderate,SAA,50000,10,0.9,3223146.0,10,3,SLOPE,0.10027474552710425,1.290999133603826,1.7042261007936403,0.8761687647301569,4.059736661284149,0.008137999990140088,6631,0.7021565374754939,2316,2340,1975,3.282762780877696,5.604584527220631,10,1088.6822,15947896.815686274,24.89390589967661,0.06945150007959455,8.161301699758042,0.026783300330862403,3.039743978623484,0.013235684312774776,24.97438690000854,0.06906454999989364,8.23703000000387,0.02759245000197552,3.0217585221845487,0.01339532252797504,3.0289724721226645,False
SCA8-4,moderate,SAA,50000,10,0.9,3698775.0,10,3,SLOPE,0.10025552603751929,1.2775426150064835,1.676024802277668,0.8810517366729002,4.059948868192519,0.007646300000487827,6947,0.737152727796171,3096,2025,1826,3.1678422340578667,5.236792860227436,12,1217.2087,18580168.995294116,24.5193392993242,0.15215529998386046,7.341518100802205,0.09151290061709005,3.334871461765623,0.059196136686417766,24.606440899995505,0.15482675000384916,7.419808599996031,0.0920306999978493,3.3114300953825646,0.05885335192877017,3.312903441528408,False
SCA8-5,moderate,SAA,50000,10,0.9,3049402.0,10,3,SLOPE,0.10030578619187858,1.3135662592926804,1.7620068266486868,0.8683202800313325,4.059345822832268,0.00822070000867825,9538,0.7812958691549591,3474,3978,2086,3.3814216816942757,5.376913399035438,10,1148.9835,16611472.905882353,34.41408050004975,0.3907108501662151,8.512753699877067,0.032196550753724296,4.030141520714672,0.0369855073147507,34.53880680000293,0.3928552500074147,8.617439000008744,0.03320549999625655,3.994250439832632,0.03715042543124003,4.004193070581392,False
SCA8-6,moderate,SAA,50000,10,0.9,3025031.0,10,3,SLOPE,0.10037045349934985,1.3316878870219107,1.797567311962894,0.8616746342025616,4.058175392907961,0.007555999996839091,7495,0.7095396931287525,2630,2688,2177,3.2891260840560372,5.685390260173449,10,1081.2966,15557053.662745098,28.53997200044978,0.06915270023455378,9.275082300388021,0.0770563003316056,3.0750047297168583,0.02067689317896626,28.6474739999976,0.06940354999824194,9.375973699992755,0.07850650000182213,3.0526627566110585,0.02034417318230819,3.0529528776393566,False
SCA8-7,moderate,SAA,50000,10,0.9,3125659.0,10,3,SLOPE,0.1002878623703362,1.2896575361309075,1.7119919259936593,0.8768712263635284,4.059503198659617,0.008146299995132722,9739,0.714344388540918,3603,3354,2782,3.039839819283294,5.104425505698737,11,1161.4619,17381718.61882353,33.39561359983054,0.1589525501112803,11.023533200088423,0.010869150049984455,3.029483650447269,0.017385916450283645,33.544822800002294,0.15943875000084518,11.164944899996044,0.011380899995856453,3.0044772366063515,0.017321879881568414,3.0022866724679367,False
SCA8-8,moderate,SAA,50000,10,0.9,3101288.0,10,3,SLOPE,0.10029730751497612,1.2913489672391913,1.706266760577856,0.8761164998454793,4.059464784323828,0.009172199992462993,7013,0.6989875944674177,2468,2434,2111,3.1301867959503777,5.602452588050763,10,1192.3111,17368759.274509802,26.526471399891307,0.061673599906498566,8.999924800140434,0.0669950501905987,2.959060957898678,0.023164744722772745,26.63304660000722,0.06240675000299234,9.105179599995608,0.07044609999866225,2.936944769328022,0.02372860666077159,2.9220999128036813,False
SCA8-9,moderate,SAA,50000,10,0.9,2826917.0,10,3,SLOPE,0.10024940545150061,1.2852764377072181,1.6992013550843645,0.8783627768126504,4.059632508861699,0.007950100000016391,7105,0.7086558761435608,2635,2400,2070,3.200140745953554,5.145109078114004,11,1195.6869,17744411.510588236,26.615592999281944,0.5119265497924061,8.79718750041502,0.3987482490047114,2.970376975530741,0.1744650898110458,26.7158497999917,0.512655900005484,8.889412500007893,0.40058940000017174,2.9506129567017925,0.1722578932695833,3.002670679058079,False
